ds,y
2002-11-09,556.0
2002-11-10,475.55555555555554
2002-11-11,575.9821428571429
2002-11-12,638.5084745762712
2002-11-13,608.515625
2002-11-14,593.1475409836065
2002-11-15,602.6111111111111
2002-11-16,598.3692307692307
2002-11-17,525.7692307692307
2002-11-18,565.688524590164
2002-11-19,583.0434782608696
2002-11-20,549.8783783783783
2002-11-21,535.8787878787879
2002-11-22,585.169014084507
2002-11-23,559.1363636363636
2002-11-24,452.26666666666665
2002-11-25,490.37142857142857
2002-11-26,500.8
2002-11-27,481.17910447761193
2002-11-28,451.375
2002-11-29,500.1044776119403
2002-11-30,457.0
2002-12-01,420.90909090909093
2002-12-02,459.95522388059703
2002-12-03,435.13432835820896
2002-12-04,495.87704918032784
2002-12-05,430.69565217391306
2002-12-06,392.03846153846155
2002-12-07,440.43859649122805
2002-12-08,356.875
2002-12-09,422.864406779661
2002-12-10,425.01666666666665
2002-12-11,432.6756756756757
2002-12-12,414.95454545454544
2002-12-13,440.2162162162162
2002-12-14,400.609756097561
2002-12-15,394.1111111111111
2002-12-16,372.83561643835617
2002-12-17,364.2307692307692
2002-12-18,368.6164383561644
2002-12-19,366.27536231884056
2002-12-20,385.4848484848485
2002-12-21,368.828125
2002-12-22,324.11764705882354
2002-12-23,345.57894736842104
2002-12-24,361.8955223880597
2002-12-25,313.34615384615387
2002-12-26,350.17391304347825
2002-12-27,354.27868852459017
2002-12-28,380.9259259259259
2002-12-29,341.42857142857144
2002-12-30,350.4
2002-12-31,341.93333333333334
2003-01-01,419.1449275362319
2003-01-02,352.15384615384613
2003-01-03,378.5844155844156
2003-01-04,346.14473684210526
2003-01-05,325.6666666666667
2003-01-06,363.12359550561797
2003-01-07,340.9625
2003-01-08,348.578313253012
2003-01-09,314.5806451612903
2003-01-10,365.86746987951807
2003-01-11,318.5074626865672
2003-01-12,314.64285714285717
2003-01-13,342.25581395348837
2003-01-14,335.65
2003-01-15,333.6666666666667
2003-01-16,300.4831460674157
2003-01-17,331.6703296703297
2003-01-18,319.45
2003-01-19,291.6842105263158
2003-01-20,330.55913978494624
2003-01-21,331.3939393939394
2003-01-22,320.3939393939394
2003-01-23,302.0841121495327
2003-01-24,326.7448979591837
2003-01-25,326.536231884058
2003-01-26,323.05263157894734
2003-01-27,334.11340206185565
2003-01-28,328.0659340659341
2003-01-29,322.747572815534
2003-01-30,345.12371134020617
2003-01-31,316.57608695652175
2003-02-01,310.7260273972603
2003-02-02,297.9230769230769
2003-02-03,313.92727272727274
2003-02-04,299.4895833333333
2003-02-05,298.5520833333333
2003-02-06,285.5348837209302
2003-02-07,298.77
2003-02-08,282.97333333333336
2003-02-09,321.3076923076923
2003-02-10,303.6734693877551
2003-02-11,292.4301075268817
2003-02-12,289.32758620689657
2003-02-13,291.716814159292
2003-02-14,300.58035714285717
2003-02-15,294.2391304347826
2003-02-16,311.9259259259259
2003-02-17,300.8348623853211
2003-02-18,320.89
2003-02-19,301.75728155339806
2003-02-20,284.4491525423729
2003-02-21,293.98214285714283
2003-02-22,284.71287128712873
2003-02-23,289.037037037037
2003-02-24,295.036036036036
2003-02-25,282.8363636363636
2003-02-26,279.38235294117646
2003-02-27,296.77777777777777
2003-02-28,294.56637168141594
2003-03-01,363.125
2003-03-02,258.4074074074074
2003-03-03,303.6372549019608
2003-03-04,293.9099099099099
2003-03-05,297.15315315315314
2003-03-06,280.60655737704917
2003-03-07,283.1363636363636
2003-03-08,288.55
2003-03-09,293.9655172413793
2003-03-10,293.6880733944954
2003-03-11,300.55445544554453
2003-03-12,307.8333333333333
2003-03-13,320.1929824561403
2003-03-14,331.7972972972973
2003-03-15,351.1111111111111
2003-03-16,314.4583333333333
2003-03-17,338.71014492753625
2003-03-18,334.75
2003-03-19,317.1
2003-03-20,334.56363636363636
2003-03-21,331.11
2003-03-22,338.3404255319149
2003-03-23,299.32
2003-03-24,327.9795918367347
2003-03-25,327.05102040816325
2003-03-26,329.82327586206895
2003-03-27,313.3391304347826
2003-03-28,333.6808510638298
2003-03-29,346.0520833333333
2003-03-30,322.0833333333333
2003-03-31,334.0348837209302
2003-04-01,334.15625
2003-04-02,344.93548387096774
