ds,y,rainfall,transport_lag_3
2017-06-15,1219.78916827853,0.0,48.290000915527344
2017-06-16,1249.6983546617917,0.0,48.720001220703125
2017-06-17,1207.5070422535211,0.0,47.0
2017-06-18,982.1573033707865,0.0,46.91999816894531
2017-06-19,1155.5581818181818,0.0,47.369998931884766
2017-06-20,1130.7915904936015,0.0,47.369998931884766
2017-06-21,1246.3678571428572,0.0,47.369998931884766
2017-06-22,1238.4450171821306,0.0,46.90999984741211
2017-06-23,1180.358208955224,0.0,46.02000045776367
2017-06-24,1338.4111570247933,0.0,44.81999969482422
2017-06-25,1055.48,0.0,45.220001220703125
2017-06-26,1089.2028985507247,0.0,45.540000915527344
2017-06-27,1176.705223880597,0.0,45.540000915527344
2017-06-28,1284.8624535315985,0.0,45.540000915527344
2017-06-29,1265.677966101695,0.0,45.83000183105469
2017-06-30,1154.6230598669622,0.0,46.650001525878906
2017-07-01,1210.341463414634,0.0,47.310001373291016
2017-07-02,1012.5297029702971,0.0,47.41999816894531
2017-07-03,1201.616847826087,0.0,47.91999816894531
2017-07-04,1200.2251908396947,0.0,47.91999816894531
2017-07-05,1278.1643598615917,0.0,47.91999816894531
2017-07-06,1250.680341880342,0.0,49.68000030517578
2017-07-07,1217.710758377425,0.0,49.68000030517578
2017-07-08,1146.5197215777262,0.0,47.790000915527344
2017-07-09,992.2899628252788,0.0,48.11000061035156
2017-07-10,1185.2918215613383,0.0,46.709999084472656
2017-07-11,1103.525,0.0,46.709999084472656
2017-07-12,1174.2169491525424,0.0,46.709999084472656
2017-07-13,1154.6395939086294,0.0,46.880001068115234
2017-07-14,1145.4204946996467,0.0,47.52000045776367
2017-07-15,1154.7581967213114,0.0,47.7400016784668
2017-07-16,962.49375,0.0,48.41999816894531
2017-07-17,1181.5644891122279,0.0,48.90999984741211
2017-07-18,1148.126245847176,0.0,48.90999984741211
2017-07-19,1157.4186046511627,0.0,48.90999984741211
2017-07-20,1189.0706075533662,0.0,48.41999816894531
2017-07-21,1195.1541425818882,0.0,48.84000015258789
2017-07-22,1172.2476894639556,0.0,49.70000076293945
2017-07-23,940.9770491803279,0.0,49.29999923706055
2017-07-24,1205.616554054054,0.0,48.060001373291016
2017-07-25,1208.2037996545769,0.0,48.060001373291016
2017-07-26,1254.2717391304348,0.0,48.060001373291016
2017-07-27,1260.9156626506024,0.0,48.59999847412109
2017-07-28,1282.112701252236,0.0,50.20000076293945
2017-07-29,1292.4844357976654,0.0,50.970001220703125
2017-07-30,1110.478417266187,0.0,51.4900016784668
2017-07-31,1476.6446601941748,0.0,52.52000045776367
2017-08-01,1452.4432234432234,0.0,52.52000045776367
2017-08-02,1543.441223832528,0.0,52.52000045776367
2017-08-03,1650.4658385093169,0.0,52.650001525878906
2017-08-04,1723.215334420881,0.0,52.630001068115234
2017-08-05,1840.1031894934333,0.0,52.36000061035156
2017-08-06,1770.2231884057971,0.0,52.0099983215332
2017-08-07,2086.9186295503214,0.0,52.41999816894531
2017-08-08,2126.322299651568,0.0,52.41999816894531
2017-08-09,2149.0102214650765,0.0,52.41999816894531
2017-08-10,2193.8279386712097,0.0,52.369998931884766
2017-08-11,2243.1481481481483,0.0,52.13999938964844
2017-08-12,2170.278260869565,0.0,52.70000076293945
2017-08-13,2034.7275541795666,0.0,51.900001525878906
2017-08-14,2253.5237191650854,0.0,52.09999847412109
2017-08-15,2193.914191419142,0.0,52.09999847412109
2017-08-16,2261.233676975945,0.0,52.09999847412109
2017-08-17,2261.973544973545,0.0,50.72999954223633
2017-08-18,2233.3106457242584,0.0,50.79999923706055
2017-08-19,2221.3511904761904,0.0,50.27000045776367
2017-08-20,2043.9357798165138,0.0,51.02999877929688
2017-08-21,2248.5132575757575,0.0,52.720001220703125
2017-08-22,2304.5660036166364,0.0,52.720001220703125
2017-08-23,2256.2385496183206,0.0,52.720001220703125
2017-08-24,2298.6028880866425,0.0,51.65999984741211
2017-08-25,2291.545842217484,0.0,51.869998931884766
2017-08-26,2262.282828282828,0.0,52.56999969482422
2017-08-27,1994.7923875432525,0.0,52.040000915527344
2017-08-28,2097.394366197183,0.0,52.40999984741211
2017-08-29,2194.5335689045937,0.0,52.40999984741211
2017-08-30,2210.523156089194,0.0,52.40999984741211
2017-08-31,2242.026119402985,0.0,51.88999938964844
2017-09-01,2115.353159851301,0.0,52.0
2017-09-02,2279.6188235294117,0.0,50.86000061035156
2017-09-03,2167.1232091690545,0.0,52.380001068115234
2017-09-04,2012.7306967984935,0.0,52.31999969482422
2017-09-05,1998.4851485148515,0.0,52.31999969482422
2017-09-06,2034.89203539823,0.0,52.31999969482422
2017-09-07,2113.2431972789113,0.0,52.31999969482422
2017-09-08,2062.2754385964913,0.0,53.380001068115234
2017-09-09,1934.883575883576,0.0,54.20000076293945
2017-09-10,1872.8126888217523,0.0,54.4900016784668
2017-09-11,2013.1,0.0,53.77999877929688
2017-09-12,1941.7265917602997,0.0,53.77999877929688
2017-09-13,1987.0053285968029,0.0,53.77999877929688
2017-09-14,1993.4550084889643,0.0,53.84000015258789
2017-09-15,1998.45648312611,0.0,54.27000045776367
2017-09-16,1956.5589285714286,0.0,55.15999984741211
2017-09-17,1781.4243323442136,0.0,55.470001220703125
2017-09-18,1908.2521150592218,0.0,55.619998931884766
2017-09-19,1907.6171735241503,0.0,55.619998931884766
2017-09-20,1929.0634648370497,0.0,55.619998931884766
2017-09-21,1796.3407407407408,0.0,55.47999954223633
2017-09-22,1880.7649063032368,0.0,55.13999938964844
2017-09-23,1929.95,0.0,56.290000915527344
2017-09-24,1756.2491909385112,0.0,56.43000030517578
2017-09-25,1897.8827708703375,0.0,56.86000061035156
2017-09-26,1876.4749103942652,0.0,56.86000061035156
2017-09-27,1902.463601532567,0.0,56.86000061035156
2017-09-28,1885.905241935484,0.0,59.02000045776367
2017-09-29,1786.078239608802,0.0,58.43999862670898
2017-09-30,1803.8447204968943,0.0,57.900001525878906
2017-10-01,1776.970802919708,0.0,57.40999984741211
2017-10-02,1833.3196930946292,0.0,57.540000915527344
2017-10-03,1962.9528130671506,0.0,57.540000915527344
2017-10-04,1961.2133815551538,0.0,57.540000915527344
2017-10-05,2011.2117647058824,0.0,56.119998931884766
2017-10-06,1988.6056603773584,0.0,56.0
2017-10-07,2024.1844106463877,0.0,55.79999923706055
2017-10-08,1941.7203647416413,0.0,57.0
2017-10-09,2168.2412587412587,0.0,55.619998931884766
2017-10-10,2234.666077738516,0.0,55.619998931884766
2017-10-11,2341.676470588235,0.0,55.619998931884766
2017-10-12,2284.417391304348,0.0,55.790000915527344
2017-10-13,2359.9232175502743,0.0,56.61000061035156
2017-10-14,2232.5631691648823,0.0,56.93999862670898
2017-10-15,2203.295238095238,0.0,56.25
2017-10-16,2243.73786407767,0.0,57.16999816894531
2017-10-17,2460.9892280071813,0.0,57.16999816894531
2017-10-18,2402.4786324786323,0.0,57.16999816894531
2017-10-19,2653.183844011142,0.0,57.81999969482422
2017-10-20,2711.128526645768,0.0,57.880001068115234
2017-10-21,2626.376262626263,0.0,58.150001525878906
2017-10-22,2435.923588039867,0.0,57.22999954223633
2017-10-23,2629.1042084168334,0.0,57.75
2017-10-24,2615.2664092664095,0.0,57.75
2017-10-25,2606.7831775700934,0.0,57.75
2017-10-26,2648.160984848485,0.0,57.369998931884766
2017-10-27,2643.476,0.0,58.33000183105469
2017-10-28,2658.5961945031713,0.0,58.43999862670898
2017-10-29,2636.5153846153844,0.0,59.29999923706055
2017-10-30,2637.0853658536585,0.0,60.43999862670898
2017-10-31,2688.8555555555554,0.0,60.43999862670898
2017-11-01,2717.1244343891403,0.0,60.43999862670898
2017-11-02,2703.5908256880734,0.0,60.900001525878906
2017-11-03,2778.021978021978,0.0,61.369998931884766
2017-11-04,2769.069351230425,0.0,61.290000915527344
2017-11-05,2665.048859934853,0.0,60.619998931884766
2017-11-06,2873.4503816793895,0.0,62.06999969482422
2017-11-07,2807.2335766423357,0.0,62.06999969482422
2017-11-08,2807.6172161172162,0.0,62.06999969482422
2017-11-09,2835.5172413793102,0.0,64.2699966430664
